Input,Coverage,Assembler,Polisher,Id,Isolet,Organism,Genome-type,Gene-number,Pomoxis-version,Mean-accuracy,Median-accuracy,Mean-deletion,Median-deletion,Mean-insertion,Median-insertion,Mean-idenity,Median-idenity,Isolet-coverage
voltrax--100x-redbean--11.fasta,100,redbean,NA,11,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean--11.fasta,100,redbean,NA,11,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean--11.fasta,100,redbean,NA,11,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean--12.fasta,100,redbean,NA,12,all,all,all,all,NA,19.76,23.39,20.83,25.44,28.12,inf,31.05,inf,NA
voltrax--100x-redbean--12.fasta,100,redbean,NA,12,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.79,25.32,20.57,25.32,29.87,inf,31.39,inf,62.616
voltrax--100x-redbean--12.fasta,100,redbean,NA,12,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,19.45,19.45,25.44,25.44,21.49,21.49,28.48,28.48,100.000
voltrax--100x-redbean--12.fasta,100,redbean,NA,12,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean--12.fasta,100,redbean,NA,12,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--01.fasta,100,redbean,wtpoa,01,all,all,all,all,NA,22.13,37.78,23.05,38.60,30.72,inf,34.75,inf,NA
voltrax--100x-redbean-wtpoa--01.fasta,100,redbean,wtpoa,01,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,22.13,37.78,23.05,38.60,30.72,inf,34.75,inf,97.603
voltrax--100x-redbean-wtpoa--01.fasta,100,redbean,wtpoa,01,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--01.fasta,100,redbean,wtpoa,01,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--01.fasta,100,redbean,wtpoa,01,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--02.fasta,100,redbean,wtpoa,02,all,all,all,all,NA,22.57,31.02,23.51,39.39,31.05,46.02,35.22,inf,NA
voltrax--100x-redbean-wtpoa--02.fasta,100,redbean,wtpoa,02,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,22.57,31.02,23.51,39.39,31.05,46.02,35.22,inf,108.773
voltrax--100x-redbean-wtpoa--02.fasta,100,redbean,wtpoa,02,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--02.fasta,100,redbean,wtpoa,02,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--02.fasta,100,redbean,wtpoa,02,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--03.fasta,100,redbean,wtpoa,03,all,all,all,all,NA,21.36,35.49,22.02,36.34,32.14,inf,33.69,inf,NA
voltrax--100x-redbean-wtpoa--03.fasta,100,redbean,wtpoa,03,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.36,35.49,22.02,36.34,32.14,inf,33.69,inf,108.500
voltrax--100x-redbean-wtpoa--03.fasta,100,redbean,wtpoa,03,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--03.fasta,100,redbean,wtpoa,03,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--03.fasta,100,redbean,wtpoa,03,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--04.fasta,100,redbean,wtpoa,04,all,all,all,all,NA,21.51,36.16,22.46,inf,30.04,inf,33.83,inf,NA
voltrax--100x-redbean-wtpoa--04.fasta,100,redbean,wtpoa,04,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.32,38.91,22.27,inf,29.89,inf,33.64,inf,79.797
voltrax--100x-redbean-wtpoa--04.fasta,100,redbean,wtpoa,04,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,36.04,36.04,inf,inf,36.04,36.04,inf,inf,63.358
voltrax--100x-redbean-wtpoa--04.fasta,100,redbean,wtpoa,04,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--04.fasta,100,redbean,wtpoa,04,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--05.fasta,100,redbean,wtpoa,05,all,all,all,all,NA,20.90,inf,21.80,inf,29.67,inf,33.43,inf,NA
voltrax--100x-redbean-wtpoa--05.fasta,100,redbean,wtpoa,05,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.90,inf,21.80,inf,29.67,inf,33.43,inf,74.127
voltrax--100x-redbean-wtpoa--05.fasta,100,redbean,wtpoa,05,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--05.fasta,100,redbean,wtpoa,05,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--05.fasta,100,redbean,wtpoa,05,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--06.fasta,100,redbean,wtpoa,06,all,all,all,all,NA,20.12,37.11,20.72,37.93,31.22,inf,32.84,inf,NA
voltrax--100x-redbean-wtpoa--06.fasta,100,redbean,wtpoa,06,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.12,37.11,20.72,37.93,31.22,inf,32.84,inf,89.140
voltrax--100x-redbean-wtpoa--06.fasta,100,redbean,wtpoa,06,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--06.fasta,100,redbean,wtpoa,06,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--06.fasta,100,redbean,wtpoa,06,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--07.fasta,100,redbean,wtpoa,07,all,all,all,all,NA,20.66,inf,21.59,inf,29.28,inf,33.11,inf,NA
voltrax--100x-redbean-wtpoa--07.fasta,100,redbean,wtpoa,07,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.66,inf,21.59,inf,29.28,inf,33.11,inf,66.958
voltrax--100x-redbean-wtpoa--07.fasta,100,redbean,wtpoa,07,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--07.fasta,100,redbean,wtpoa,07,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--07.fasta,100,redbean,wtpoa,07,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--08.fasta,100,redbean,wtpoa,08,all,all,all,all,NA,22.62,35.78,23.58,37.16,30.91,inf,35.48,inf,NA
voltrax--100x-redbean-wtpoa--08.fasta,100,redbean,wtpoa,08,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,22.62,35.78,23.58,37.16,30.91,inf,35.48,inf,115.551
voltrax--100x-redbean-wtpoa--08.fasta,100,redbean,wtpoa,08,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--08.fasta,100,redbean,wtpoa,08,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--08.fasta,100,redbean,wtpoa,08,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--09.fasta,100,redbean,wtpoa,09,all,all,all,all,NA,19.71,42.99,20.36,inf,30.65,inf,31.90,inf,NA
voltrax--100x-redbean-wtpoa--09.fasta,100,redbean,wtpoa,09,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.71,42.99,20.36,inf,30.65,inf,31.90,inf,71.775
voltrax--100x-redbean-wtpoa--09.fasta,100,redbean,wtpoa,09,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--09.fasta,100,redbean,wtpoa,09,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--09.fasta,100,redbean,wtpoa,09,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--10.fasta,100,redbean,wtpoa,10,all,all,all,all,NA,21.19,27.16,22.39,31.22,28.39,inf,34.03,inf,NA
voltrax--100x-redbean-wtpoa--10.fasta,100,redbean,wtpoa,10,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.19,27.16,22.39,31.22,28.39,inf,34.03,inf,89.732
voltrax--100x-redbean-wtpoa--10.fasta,100,redbean,wtpoa,10,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--10.fasta,100,redbean,wtpoa,10,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--10.fasta,100,redbean,wtpoa,10,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--11.fasta,100,redbean,wtpoa,11,all,all,all,all,NA,5.55,24.72,19.04,25.08,5.71,inf,29.21,inf,NA
voltrax--100x-redbean-wtpoa--11.fasta,100,redbean,wtpoa,11,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,5.55,24.72,19.04,25.08,5.71,inf,29.21,inf,115.937
voltrax--100x-redbean-wtpoa--11.fasta,100,redbean,wtpoa,11,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--11.fasta,100,redbean,wtpoa,11,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--11.fasta,100,redbean,wtpoa,11,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--12.fasta,100,redbean,wtpoa,12,all,all,all,all,NA,20.29,29.60,21.20,30.29,29.98,inf,31.16,inf,NA
voltrax--100x-redbean-wtpoa--12.fasta,100,redbean,wtpoa,12,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.93,28.88,20.82,28.88,29.72,inf,30.78,inf,63.041
voltrax--100x-redbean-wtpoa--12.fasta,100,redbean,wtpoa,12,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,35.01,35.01,inf,inf,35.01,35.01,inf,inf,100.000
voltrax--100x-redbean-wtpoa--12.fasta,100,redbean,wtpoa,12,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa--12.fasta,100,redbean,wtpoa,12,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--01-polished.fasta,100,redbean,wtpoa-medaka,01,all,all,all,all,NA,21.21,29.62,22.76,34.21,27.13,inf,34.51,inf,NA
voltrax--100x-redbean-wtpoa-medaka--01-polished.fasta,100,redbean,wtpoa-medaka,01,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.21,29.62,22.76,34.21,27.13,inf,34.51,inf,97.599
voltrax--100x-redbean-wtpoa-medaka--01-polished.fasta,100,redbean,wtpoa-medaka,01,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--01-polished.fasta,100,redbean,wtpoa-medaka,01,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--01-polished.fasta,100,redbean,wtpoa-medaka,01,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--02-polished.fasta,100,redbean,wtpoa-medaka,02,all,all,all,all,NA,22.12,25.62,23.02,29.47,30.78,inf,34.87,inf,NA
voltrax--100x-redbean-wtpoa-medaka--02-polished.fasta,100,redbean,wtpoa-medaka,02,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,22.12,25.62,23.02,29.47,30.78,inf,34.87,inf,108.723
voltrax--100x-redbean-wtpoa-medaka--02-polished.fasta,100,redbean,wtpoa-medaka,02,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--02-polished.fasta,100,redbean,wtpoa-medaka,02,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--02-polished.fasta,100,redbean,wtpoa-medaka,02,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--03-polished.fasta,100,redbean,wtpoa-medaka,03,all,all,all,all,NA,20.91,28.99,21.54,29.50,32.44,inf,32.71,inf,NA
voltrax--100x-redbean-wtpoa-medaka--03-polished.fasta,100,redbean,wtpoa-medaka,03,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.91,28.99,21.54,29.50,32.44,inf,32.71,inf,108.492
voltrax--100x-redbean-wtpoa-medaka--03-polished.fasta,100,redbean,wtpoa-medaka,03,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--03-polished.fasta,100,redbean,wtpoa-medaka,03,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--03-polished.fasta,100,redbean,wtpoa-medaka,03,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--04-polished.fasta,100,redbean,wtpoa-medaka,04,all,all,all,all,NA,21.67,inf,22.57,inf,30.63,inf,33.86,inf,NA
voltrax--100x-redbean-wtpoa-medaka--04-polished.fasta,100,redbean,wtpoa-medaka,04,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.48,inf,22.38,inf,30.43,inf,33.67,inf,80.347
voltrax--100x-redbean-wtpoa-medaka--04-polished.fasta,100,redbean,wtpoa-medaka,04,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,63.216
voltrax--100x-redbean-wtpoa-medaka--04-polished.fasta,100,redbean,wtpoa-medaka,04,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--04-polished.fasta,100,redbean,wtpoa-medaka,04,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--05-polished.fasta,100,redbean,wtpoa-medaka,05,all,all,all,all,NA,20.88,40.11,21.73,inf,31.08,inf,31.67,inf,NA
voltrax--100x-redbean-wtpoa-medaka--05-polished.fasta,100,redbean,wtpoa-medaka,05,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.88,40.11,21.73,inf,31.08,inf,31.67,inf,73.421
voltrax--100x-redbean-wtpoa-medaka--05-polished.fasta,100,redbean,wtpoa-medaka,05,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--05-polished.fasta,100,redbean,wtpoa-medaka,05,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--05-polished.fasta,100,redbean,wtpoa-medaka,05,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--06-polished.fasta,100,redbean,wtpoa-medaka,06,all,all,all,all,NA,20.10,34.10,20.71,35.11,31.45,inf,32.42,inf,NA
voltrax--100x-redbean-wtpoa-medaka--06-polished.fasta,100,redbean,wtpoa-medaka,06,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.10,34.10,20.71,35.11,31.45,inf,32.42,inf,88.861
voltrax--100x-redbean-wtpoa-medaka--06-polished.fasta,100,redbean,wtpoa-medaka,06,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--06-polished.fasta,100,redbean,wtpoa-medaka,06,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--06-polished.fasta,100,redbean,wtpoa-medaka,06,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--07-polished.fasta,100,redbean,wtpoa-medaka,07,all,all,all,all,NA,20.57,inf,21.49,inf,29.28,inf,32.88,inf,NA
voltrax--100x-redbean-wtpoa-medaka--07-polished.fasta,100,redbean,wtpoa-medaka,07,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.57,inf,21.49,inf,29.28,inf,32.88,inf,67.057
voltrax--100x-redbean-wtpoa-medaka--07-polished.fasta,100,redbean,wtpoa-medaka,07,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--07-polished.fasta,100,redbean,wtpoa-medaka,07,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--07-polished.fasta,100,redbean,wtpoa-medaka,07,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--08-polished.fasta,100,redbean,wtpoa-medaka,08,all,all,all,all,NA,21.81,30.67,22.82,33.13,30.67,inf,32.78,inf,NA
voltrax--100x-redbean-wtpoa-medaka--08-polished.fasta,100,redbean,wtpoa-medaka,08,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.81,30.67,22.82,33.13,30.67,inf,32.78,inf,115.510
voltrax--100x-redbean-wtpoa-medaka--08-polished.fasta,100,redbean,wtpoa-medaka,08,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--08-polished.fasta,100,redbean,wtpoa-medaka,08,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--08-polished.fasta,100,redbean,wtpoa-medaka,08,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--09-polished.fasta,100,redbean,wtpoa-medaka,09,all,all,all,all,NA,19.64,inf,20.35,inf,29.88,inf,31.94,inf,NA
voltrax--100x-redbean-wtpoa-medaka--09-polished.fasta,100,redbean,wtpoa-medaka,09,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.64,inf,20.35,inf,29.88,inf,31.94,inf,72.470
voltrax--100x-redbean-wtpoa-medaka--09-polished.fasta,100,redbean,wtpoa-medaka,09,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--09-polished.fasta,100,redbean,wtpoa-medaka,09,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--09-polished.fasta,100,redbean,wtpoa-medaka,09,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--10-polished.fasta,100,redbean,wtpoa-medaka,10,all,all,all,all,NA,21.17,26.81,22.19,28.61,29.51,inf,33.12,inf,NA
voltrax--100x-redbean-wtpoa-medaka--10-polished.fasta,100,redbean,wtpoa-medaka,10,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.17,26.81,22.19,28.61,29.51,inf,33.12,inf,89.420
voltrax--100x-redbean-wtpoa-medaka--10-polished.fasta,100,redbean,wtpoa-medaka,10,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--10-polished.fasta,100,redbean,wtpoa-medaka,10,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--10-polished.fasta,100,redbean,wtpoa-medaka,10,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--11-polished.fasta,100,redbean,wtpoa-medaka,11,all,all,all,all,NA,5.71,25.85,20.48,25.85,5.87,inf,24.03,inf,NA
voltrax--100x-redbean-wtpoa-medaka--11-polished.fasta,100,redbean,wtpoa-medaka,11,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,5.71,25.85,20.48,25.85,5.87,inf,24.03,inf,117.618
voltrax--100x-redbean-wtpoa-medaka--11-polished.fasta,100,redbean,wtpoa-medaka,11,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--11-polished.fasta,100,redbean,wtpoa-medaka,11,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--11-polished.fasta,100,redbean,wtpoa-medaka,11,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--12-polished.fasta,100,redbean,wtpoa-medaka,12,all,all,all,all,NA,20.79,30.97,21.48,31.01,30.93,inf,33.73,inf,NA
voltrax--100x-redbean-wtpoa-medaka--12-polished.fasta,100,redbean,wtpoa-medaka,12,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,20.41,28.88,21.09,28.88,30.62,inf,33.35,inf,62.865
voltrax--100x-redbean-wtpoa-medaka--12-polished.fasta,100,redbean,wtpoa-medaka,12,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,38.02,38.02,inf,inf,38.02,38.02,inf,inf,100.000
voltrax--100x-redbean-wtpoa-medaka--12-polished.fasta,100,redbean,wtpoa-medaka,12,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-redbean-wtpoa-medaka--12-polished.fasta,100,redbean,wtpoa-medaka,12,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--10x-flye-medaka--01-polished.fasta,10,flye,medaka,01,all,all,all,all,NA,19.16,33.02,19.78,36.57,30.10,inf,31.86,inf,NA
voltrax--10x-flye-medaka--01-polished.fasta,10,flye,medaka,01,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.77,26.56,19.38,26.82,29.75,inf,31.47,inf,89.273
voltrax--10x-flye-medaka--01-polished.fasta,10,flye,medaka,01,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,38.01,38.01,inf,inf,38.01,38.01,inf,inf,99.811
voltrax--10x-flye-medaka--01-polished.fasta,10,flye,medaka,01,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
