Input-reads,Input-assembly,Output,Coverage,Assembler,Version,Polisher,User-time,System-time,Elapsed-time,Mean-memory-kb,Mean-resident-memory-kb,Max-resident-memory-kb,Date
Voltrax_20190924.30x.sample.01.fastq,voltrax--30x-flye--01.fasta,voltrax--30x-flye-medaka--01-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1396.70,50.72,195.84,0,0,7893188,20210716-19:58:05
Voltrax_20190924.30x.sample.02.fastq,voltrax--30x-flye--02.fasta,voltrax--30x-flye-medaka--02-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1402.41,49.83,199.20,0,0,7931148,20210716-20:01:21
Voltrax_20190924.30x.sample.03.fastq,voltrax--30x-flye--03.fasta,voltrax--30x-flye-medaka--03-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1439.53,51.02,207.07,0,0,7909956,20210716-20:04:40
Voltrax_20190924.30x.sample.04.fastq,voltrax--30x-flye--04.fasta,voltrax--30x-flye-medaka--04-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1411.26,51.35,202.07,0,0,7904240,20210716-20:08:07
Voltrax_20190924.30x.sample.05.fastq,voltrax--30x-flye--05.fasta,voltrax--30x-flye-medaka--05-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1429.60,50.26,200.90,0,0,7914556,20210716-20:11:30
Voltrax_20190924.30x.sample.06.fastq,voltrax--30x-flye--06.fasta,voltrax--30x-flye-medaka--06-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1451.11,49.33,205.60,0,0,7907840,20210716-20:14:50
Voltrax_20190924.30x.sample.07.fastq,voltrax--30x-flye--07.fasta,voltrax--30x-flye-medaka--07-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1415.25,51.78,213.47,0,0,7904060,20210716-20:18:16
Voltrax_20190924.30x.sample.08.fastq,voltrax--30x-flye--08.fasta,voltrax--30x-flye-medaka--08-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1399.16,52.42,205.95,0,0,7886516,20210716-20:21:50
Voltrax_20190924.30x.sample.09.fastq,voltrax--30x-flye--09.fasta,voltrax--30x-flye-medaka--09-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1405.52,53.11,203.71,0,0,7922208,20210716-20:25:16
Voltrax_20190924.30x.sample.10.fastq,voltrax--30x-flye--10.fasta,voltrax--30x-flye-medaka--10-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1394.96,51.43,197.12,0,0,7883120,20210716-20:28:39
Voltrax_20190924.30x.sample.11.fastq,voltrax--30x-flye--11.fasta,voltrax--30x-flye-medaka--11-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1404.17,51.80,202.02,0,0,7896772,20210716-20:31:57
Voltrax_20190924.30x.sample.12.fastq,voltrax--30x-flye--12.fasta,voltrax--30x-flye-medaka--12-polished.fasta,30,flye,2.8.3-b1725,racon1x-medaka,1546.91,52.42,217.13,0,0,7921792,20210716-20:35:19
Voltrax_20190924.30x.sample.01.fastq,voltrax--30x-redbean--01.fasta,voltrax--30x-redbean-medaka--01-polished.fasta,30,redbean,2.5,racon1x-medaka,1626.08,63.20,231.49,0,0,7841116,20210716-20:38:56
Voltrax_20190924.30x.sample.02.fastq,voltrax--30x-redbean--02.fasta,voltrax--30x-redbean-medaka--02-polished.fasta,30,redbean,2.5,racon1x-medaka,1590.37,61.46,220.27,0,0,7873140,20210716-20:42:47
